Timestamp unix,Timestamp,open,high,low,close,Volume (BTC),Volume (Currency),Weighted_Price
43901.0,11/03/2020 0:00,7889.6,7889.6,7886.6,7886.6,0.09,675.7,7888.58
43901.00069,11/03/2020 0:01,7884.8,7884.8,7870.0,7870.0,36.95,290927.8,7873.7
43901.00139,11/03/2020 0:02,7870.3,7872.0,7865.0,7870.7,3.33,26182.39,7869.54
43901.00208,11/03/2020 0:03,7875.0,7875.1,7874.2,7875.1,1.9,14924.35,7874.81
43901.00278,11/03/2020 0:04,7876.1,7882.4,7876.1,7882.4,2.64,20768.79,7879.93
43901.003469999996,11/03/2020 0:05,7887.2,7899.5,7886.5,7899.5,3.88,30609.61,7892.74
43901.00417,11/03/2020 0:06,7898.2,7898.2,7896.1,7896.8,1.18,9314.75,7896.85
43901.00486,11/03/2020 0:07,7897.0,7904.9,7897.0,7904.9,0.15,1200.79,7901.67
43901.005560000005,11/03/2020 0:08,7904.9,7909.1,7904.4,7908.0,20.78,164332.9,7906.84
43901.00625,11/03/2020 0:09,7905.1,7906.9,7901.1,7906.9,11.16,88228.65,7904.47
43901.00694,11/03/2020 0:10,7907.3,7908.8,7907.2,7907.5,7.36,58223.9,7907.38
43901.007639999996,11/03/2020 0:11,7908.7,7917.3,7908.7,7915.8,2.16,17055.2,7913.96
43901.008330000004,11/03/2020 0:12,7920.0,7922.4,7920.0,7922.4,5.22,41341.53,7920.1
43901.00903,11/03/2020 0:13,7922.4,7923.6,7922.4,7922.4,0.4,3143.71,7922.41
43901.00972,11/03/2020 0:14,7919.5,7919.5,7919.5,7919.5,0.1,752.35,7919.5
43901.01042,11/03/2020 0:15,7919.4,7921.8,7919.4,7921.8,1.38,10897.4,7919.51
43901.01111,11/03/2020 0:16,7926.5,7926.5,7919.5,7919.5,0.34,2671.86,7921.31
43901.01181,11/03/2020 0:17,7919.5,7919.5,7911.1,7911.2,2.0,15806.9,7915.22
43901.0125,11/03/2020 0:18,7910.3,7915.5,7910.3,7913.8,2.66,21021.72,7911.53
43901.01319,11/03/2020 0:19,7908.2,7908.2,7908.2,7908.2,0.01,101.8,7908.2
43901.013889999995,11/03/2020 0:20,7906.6,7918.7,7906.5,7918.7,0.6,4781.06,7909.64
43901.01458,11/03/2020 0:21,7918.0,7934.8,7918.0,7933.6,4.81,38146.09,7930.72
43901.01528,11/03/2020 0:22,7928.6,7935.0,7928.6,7935.0,19.0,150728.04,7933.28
43901.01597,11/03/2020 0:23,7935.5,7936.4,7929.7,7929.7,31.51,250085.22,7936.27
43901.01667,11/03/2020 0:24,7931.3,7938.7,7931.3,7938.7,0.19,1526.85,7934.91
43901.017360000005,11/03/2020 0:25,7943.3,7943.4,7943.3,7943.4,0.54,4273.92,7943.38
43901.01806,11/03/2020 0:26,7943.4,7943.4,7943.3,7943.4,0.41,3224.93,7943.33
43901.01875,11/03/2020 0:27,7943.4,7944.0,7943.3,7944.0,32.56,258622.61,7943.43
43901.01944,11/03/2020 0:28,7946.7,7946.8,7945.5,7945.5,3.41,27077.52,7946.45
43901.02014,11/03/2020 0:29,7945.35,7948.25,7944.4,7947.6,1.9300000000000002,15344.675,7945.495
43901.02083,11/03/2020 0:30,7944.0,7949.7,7943.3,7949.7,0.45,3611.83,7944.54
43901.02153,11/03/2020 0:31,7943.5,7943.5,7941.1,7942.1,0.16,1295.41,7942.1
43901.02222,11/03/2020 0:32,7941.6,7948.3,7940.9,7948.3,1.82,14451.37,7941.07
43901.022919999996,11/03/2020 0:33,7949.7,7950.0,7949.6,7949.7,1.2,9566.53,7949.93
43901.023610000004,11/03/2020 0:34,7949.0,7949.0,7949.0,7949.0,0.02,131.18,7949.0
43901.02431,11/03/2020 0:35,7949.0,7949.0,7932.2,7932.2,1.01,8044.88,7937.75
43901.025,11/03/2020 0:36,7932.2,7932.9,7932.2,7932.9,0.0,31.73,7932.55
43901.025689999995,11/03/2020 0:37,7933.6,7933.6,7933.5,7933.6,0.13,995.75,7933.6
43901.02639,11/03/2020 0:38,7933.5,7933.5,7933.5,7933.5,0.01,60.93,7933.5
43901.02708,11/03/2020 0:39,7933.5,7933.6,7933.5,7933.5,0.4,3198.88,7933.52
43901.027780000004,11/03/2020 0:40,7933.6,7937.6,7933.5,7933.6,1.92,15208.12,7934.17
43901.02847,11/03/2020 0:41,7933.5,7933.5,7930.0,7930.0,1.06,8387.98,7931.0
43901.02917,11/03/2020 0:42,7931.5,7931.5,7931.3,7931.3,0.16,1261.89,7931.38
43901.02986,11/03/2020 0:43,7934.7,7934.7,7931.3,7931.3,0.06,437.76,7933.97
43901.03056,11/03/2020 0:44,7930.0,7930.0,7930.0,7930.0,0.1,762.95,7930.0
43901.03125,11/03/2020 0:45,7930.1,7935.6,7930.1,7935.5,0.21,1695.84,7930.61
43901.03194,11/03/2020 0:46,7933.4,7935.5,7932.9,7932.9,0.96,7646.05,7935.12
43901.03264,11/03/2020 0:47,7935.0,7938.8,7935.0,7938.8,5.36,42527.61,7937.37
43901.03333,11/03/2020 0:48,7939.0,7939.1,7939.0,7939.1,0.13,1036.09,7939.03
43901.03403,11/03/2020 0:49,7939.0,7939.1,7939.0,7939.0,0.29,2307.33,7939.0
43901.034719999996,11/03/2020 0:50,7939.8,7940.1,7939.0,7939.1,0.61,4850.02,7939.28
43901.03542,11/03/2020 0:51,7939.1,7939.2,7939.1,7939.2,0.56,4437.46,7939.2
43901.03611,11/03/2020 0:52,7939.1,7939.8,7939.1,7939.2,3.94,31294.94,7939.73
43901.036810000005,11/03/2020 0:53,7939.2,7947.6,7939.2,7946.9,0.65,5125.41,7944.75
43901.0375,11/03/2020 0:54,7944.0,7948.75,7944.0,7948.15,0.72,5704.495,7947.219999999999
43901.03819,11/03/2020 0:55,7948.8,7949.9,7948.8,7949.4,0.79,6283.58,7949.69
43901.038889999996,11/03/2020 0:56,7949.8,7949.9,7948.5,7949.8,1.72,13663.63,7949.46
43901.039580000004,11/03/2020 0:57,7947.0,7948.3,7947.0,7948.3,3.0,23844.23,7948.08
43901.04028,11/03/2020 0:58,7946.9,7946.9,7946.9,7946.9,0.0,25.24,7946.9
43901.04097,11/03/2020 0:59,7946.9,7947.0,7946.9,7947.0,0.05,405.9,7946.92
43901.04167,11/03/2020 1:00,7946.9,7946.9,7943.4,7944.1,2.95,23431.85,7943.93
43901.04236,11/03/2020 1:01,7945.0,7945.9,7945.0,7945.9,0.01,82.9,7945.42
43901.04306,11/03/2020 1:02,7947.5,7949.9,7947.5,7949.9,0.29,2338.06,7949.73
43901.04375,11/03/2020 1:03,7949.9,7958.2,7949.9,7957.7,10.21,81188.81,7950.42
43901.04444,11/03/2020 1:04,7954.65,7963.2,7954.65,7961.75,8.38,66680.08,7957.860000000001
43901.045139999995,11/03/2020 1:05,7959.4,7968.2,7959.4,7965.8,6.55,52171.35,7965.3
43901.04583,11/03/2020 1:06,7966.3,7966.3,7961.9,7961.9,0.17,1359.92,7964.16
43901.04653,11/03/2020 1:07,7961.7,7961.7,7958.1,7958.1,0.15,1203.86,7959.89
43901.04722,11/03/2020 1:08,7951.2,7955.5,7951.1,7955.5,0.29,2333.23,7951.75
43901.04792,11/03/2020 1:09,7948.9,7950.6,7948.9,7950.6,0.42,3335.22,7950.22
43901.048610000005,11/03/2020 1:10,7950.6,7956.1,7950.6,7956.1,6.08,48334.49,7955.12
43901.04931,11/03/2020 1:11,7945.8,7945.8,7940.0,7940.0,1.33,10565.47,7943.96
43901.05,11/03/2020 1:12,7940.0,7942.8,7940.0,7942.8,2.85,22614.92,7940.06
43901.05069,11/03/2020 1:13,7942.0,7942.0,7942.0,7942.0,0.03,205.47,7942.0
43901.05139,11/03/2020 1:14,7940.0,7940.0,7940.0,7940.0,0.17,1325.11,7940.0
43901.05208,11/03/2020 1:15,7940.0,7940.0,7932.3,7932.3,5.68,45066.17,7936.84
43901.05278,11/03/2020 1:16,7932.2,7932.2,7925.0,7927.1,0.74,5896.18,7928.69
43901.05347,11/03/2020 1:17,7925.0,7925.0,7910.0,7910.0,16.0,126695.33,7916.02
43901.054169999996,11/03/2020 1:18,7917.2,7924.6,7917.2,7924.6,10.3,81618.68,7922.45
43901.054860000004,11/03/2020 1:19,7920.0,7920.0,7918.9,7918.9,0.27,2149.61,7919.92
43901.05556,11/03/2020 1:20,7911.8,7912.3,7911.8,7912.3,0.95,7525.9,7911.9
43901.05625,11/03/2020 1:21,7914.7,7922.0,7914.7,7922.0,3.7,29301.14,7915.32
43901.056939999995,11/03/2020 1:22,7921.3,7927.1,7921.3,7924.8,0.13,1023.62,7923.0
43901.05764,11/03/2020 1:23,7924.6,7924.6,7924.6,7924.6,0.18,1450.2,7924.6
43901.05833,11/03/2020 1:24,7914.7,7914.9,7914.6,7914.9,0.05,373.42,7914.73
43901.059030000004,11/03/2020 1:25,7917.15,7917.25,7917.1,7917.25,0.15000000000000002,1186.28,7917.165
43901.05972,11/03/2020 1:26,7919.6,7919.6,7919.6,7919.6,0.25,1999.14,7919.6
43901.06042,11/03/2020 1:27,7917.8,7919.0,7915.7,7918.6,11.21,88780.17,7917.19
43901.06111,11/03/2020 1:28,7914.950000000001,7918.95,7913.9,7918.75,5.9,46730.525,7914.725
43901.06181,11/03/2020 1:29,7912.1,7918.9,7912.1,7918.9,0.59,4680.88,7912.26
43901.0625,11/03/2020 1:30,7914.8,7914.8,7910.0,7910.0,2.16,17090.72,7910.07
43901.06319,11/03/2020 1:31,7912.9,7914.1,7910.9,7912.4,6.88,54415.57,7911.47
43901.06389,11/03/2020 1:32,7913.0,7913.0,7909.3,7911.2,0.13,1064.73,7910.06
43901.06458,11/03/2020 1:33,7909.3,7909.3,7909.1,7909.2,0.2,1590.34,7909.11
43901.06528,11/03/2020 1:34,7909.2,7909.2,7909.2,7909.2,0.43,3431.17,7909.2
43901.065969999996,11/03/2020 1:35,7910.1,7914.5,7910.1,7914.5,1.38,10914.37,7912.33
43901.06667,11/03/2020 1:36,7915.4,7915.4,7915.4,7915.4,0.08,594.13,7915.4
43901.06736,11/03/2020 1:37,7917.3,7921.2,7917.3,7921.2,20.01,158457.05,7918.89
43901.068060000005,11/03/2020 1:38,7924.5,7924.5,7921.1,7921.1,3.83,30376.01,7921.73
43901.06875,11/03/2020 1:39,7920.15,7920.15,7918.450000000001,7918.450000000001,2.045,16202.0,7918.764999999999
43901.06944,11/03/2020 1:40,7915.8,7915.8,7915.8,7915.8,0.26,2027.99,7915.8
43901.070139999996,11/03/2020 1:41,7917.5,7929.7,7917.3,7929.7,7.19,56952.77,7918.46
43901.070830000004,11/03/2020 1:42,7929.6,7929.6,7922.8,7922.8,5.7,45174.41,7928.35
43901.07153,11/03/2020 1:43,7924.9,7925.8,7921.5,7922.25,3.055,24221.745000000003,7924.88
43901.07222,11/03/2020 1:44,7920.2,7922.0,7920.2,7921.7,0.41,3269.08,7921.41
43901.07292,11/03/2020 1:45,7920.2,7920.2,7920.2,7920.2,0.2,1584.04,7920.2
43901.07361,11/03/2020 1:46,7921.6,7922.6,7921.4,7921.8,0.05,373.7,7921.73
43901.07431,11/03/2020 1:47,7919.8,7919.8,7919.8,7919.8,0.01,101.78,7919.8
43901.075,11/03/2020 1:48,7917.5,7920.3,7917.5,7920.3,1.37,10879.15,7918.11
43901.07569,11/03/2020 1:49,7920.2,7932.0,7920.2,7932.0,2.59,20529.16,7921.0
43901.076389999995,11/03/2020 1:50,7928.1,7929.0,7927.3,7928.6,1.03,8148.27,7928.39
43901.07708,11/03/2020 1:51,7933.9,7933.9,7929.0,7929.0,0.44,3489.94,7931.67
43901.07778,11/03/2020 1:52,7928.3,7928.9,7926.6,7926.6,0.5,3955.82,7927.5
43901.07847,11/03/2020 1:53,7927.900000000001,7928.3,7926.766666666667,7926.766666666667,0.45,3562.0433333333335,7927.366666666667
